Kept_idx,Orig_idx,Row,Col,Score
392,476,14,28,0.2516603
461,545,17,1,0.25114694
3,3,0,3,0.25037667
221,263,8,7,0.24866492
396,480,15,0,0.24853863
225,267,8,11,0.24793376
69,69,2,5,0.24491462
16,16,0,16,0.24305744
43,43,1,11,0.24279469
308,364,11,12,0.2424628
15,15,0,15,0.24243854
6,6,0,6,0.24123588
36,36,1,4,0.24001198
276,332,10,12,0.23826179
7,7,0,7,0.23824461
31,31,0,31,0.23625252
527,860,26,28,0.23554449
473,557,17,13,0.23537502
38,38,1,6,0.23434193
340,396,12,12,0.23423576
423,507,15,27,0.23224129
273,329,10,9,0.23180574
4,4,0,4,0.22808073
190,232,7,8,0.22799234
41,41,1,9,0.22679879
519,796,24,28,0.22515927
438,522,16,10,0.22387323
9,9,0,9,0.22302176
226,268,8,12,0.22255208
75,75,2,11,0.22211897
10,10,0,10,0.2212897
187,229,7,5,0.22064428
391,475,14,27,0.22023591
71,71,2,7,0.21886806
161,203,6,11,0.21807738
523,828,25,28,0.21744412
309,365,11,13,0.2171087
73,73,2,9,0.21628882
406,490,15,10,0.21620792
436,520,16,8,0.21261586
155,197,6,5,0.2088232
515,764,23,28,0.20880389
341,397,12,13,0.20476717
468,552,17,8,0.20286804
409,493,15,13,0.20035991
194,236,7,12,0.19430618
158,200,6,8,0.19052729
277,333,10,13,0.17910223
37,37,1,5,0.17617062
5,5,0,5,0.17525841
11,11,0,11,0.17014018
